id,num_items,capacidad,num_variables_qubo,optimo,valor_total,peso,factible,coincide,ratio_optimo,brecha_optimo,exceso_peso,prob_optimo,ratio_optimo_medio,tiempo_total,t_solver,t_cuantico,t_clasico,pct_tiempo_solver_sobre_total,pct_tiempo_cuantico_sobre_solver,pct_tiempo_clasico_sobre_solver,tiempo_medio_iter,tiempo_por_eval,total_evals,num_factibles_qaoa,prob_optimo_muestras,prob_optimo_starts,tasa_factibilidad,ratio_medio_factibles,valor_medio_start,std_valor_start,tiempo_medio_start,total_muestras,starts,reads_por_start,muestras_esperadas,metodo,warmstart,epsilon_warmstart
1,2,3,4,5,5,3,True,True,1.0,0,0,1.0,1.0,183.59661259999848,183.59456639995915,172.28471549999085,11.309850899968296,0.9999888549139858,0.9383976817956046,0.06160231820439547,0.05879295164000942,0.07314524557767296,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
2,2,4,5,7,7,4,True,True,1.0,0,0,1.0,1.0,435.7011428999831,435.69897229998605,426.13403130022925,9.5649409997568,0.9999950181448168,0.9780469048405944,0.021953095159405557,0.13941363787999145,0.17358524792828128,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
3,3,4,6,10,10,4,True,True,1.0,0,0,1.0,1.0,874.3592738999869,874.3568711000553,864.0865899994678,10.270281100587454,0.9999972519306385,0.9882539024509911,0.011746097549008905,0.28033942631999964,0.3483493510358786,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
4,3,3,5,5,5,3,True,True,1.0,0,0,1.0,1.0,371.8822317000013,371.8800089000142,362.3793748001044,9.500634099909803,0.9999940228389592,0.9744524204782834,0.025547579521716633,0.11902722600001144,0.1481593660956232,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
5,3,5,6,22,22,5,True,True,1.0,0,0,0.8,0.9636363636363636,894.2459005000128,894.2435648000392,884.0117512007128,10.231813599326415,0.9999973880786344,0.988558135610834,0.011441864389165987,0.2847699557200074,0.35627233657372076,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
6,3,5,6,13,13,5,True,True,1.0,0,0,1.0,1.0,951.0387807999796,951.0363676999405,940.7386539990548,10.297713700885652,0.9999974626691489,0.9891721136534553,0.010827886346544701,0.3044425499199773,0.37889895127487666,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
7,3,4,6,8,8,3,True,True,1.0,0,0,0.6,0.95,881.187200299988,881.1848595000338,870.7780016003235,10.406857899710303,0.9999973435837999,0.9881899265659024,0.01181007343409752,0.2818821619600174,0.3510696651394557,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
10,3,5,6,9,9,5,True,True,1.0,0,0,0.7,0.9,899.5634336999792,899.5609695999883,889.2406225000741,10.320347099914216,0.9999972607823989,0.9885273511760927,0.011472648823907299,0.28704711663998894,0.358390824541828,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
11,4,4,7,6,6,4,True,True,1.0,0,0,1.0,1.0,1677.8077051000146,1677.8052240000688,1665.5796499999124,12.225574000156485,0.9999985212250855,0.9927133532395319,0.007286646760468057,0.5392272611199879,0.6684482964143701,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
12,3,7,6,12,12,7,True,True,1.0,0,0,0.9,0.9833333333333334,958.1781052000006,958.1756862999755,947.9836425998074,10.192043700168142,0.9999974755215006,0.9893630741774245,0.010636925822575428,0.3060195233600331,0.3817433013147313,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
13,4,5,7,7,7,5,True,True,1.0,0,0,0.9,0.9857142857142858,1786.830728699977,1786.8282595999772,1774.5435637993796,12.284695800597547,0.9999986181679327,0.9931248592389356,0.00687514076106439,0.5689316386800143,0.7118837687649311,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
14,2,3,4,6,6,3,True,True,1.0,0,0,1.0,1.0,213.72459690002142,213.7224396999809,202.53316460037604,11.189275099604856,0.9999899066365228,0.9476457637517515,0.05235423624824856,0.06804352051997557,0.08514838235059,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
15,3,5,6,10,10,5,True,True,1.0,0,0,1.0,1.0,939.0354022999818,939.033063800045,928.8783947999764,10.15466900006868,0.9999975096786223,0.9891860367951527,0.010813963204847264,0.30054194492000386,0.37411675848607373,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
